titulo,sinopsis,estreno,genero,director,protagonistas,temporadas_totales,capitulos_totales,duracion_media_capitulo,calificacion_usuario,vistas_totales,image_cover
Star Trek: La nueva generación,"Star Trek: La nueva generación o Viaje a las estrellas: La nueva generación en Uruguay (Star Trek: The Next Generation) (algunas veces abreviada ST:TNG o TNG) es una serie de ciencia ficción estadounidense dentro del universo de Star Trek. Situada en el siglo XXIV, 21 años después de Star Trek: la serie original, el programa cuenta con una nueva tripulación y una nueva nave Enterprise. Su estreno fue el 28 de septiembre de 1987, contando con más de 27 millones de televidentes el episodio piloto ""Encuentro en Farpoint"". Con un total de 178 episodios (el mayor número de episodios que haya tenido alguna serie de Star Trek) y siete temporadas, llegó a su fin el 23 de mayo de 1994, con el episodio ""Todas las cosas buenas"".

Los episodios siguen las aventuras de la tripulación del USS Enterprise (NCC-1701-D), una nave clase Galaxia. Como nave insignia de la Federación Unida de Planetas, la Enterprise está diseñada para la exploración y la diplomacia, pero preparada para la batalla si fuera necesario. Su capitán es el conocido y carismático Jean-Luc Picard, mucho más intelectual y filosófico que el típico protagonista de una serie de ciencia ficción.",1987,Sci-Fi & Fantasy,Desconocido,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn",7,176,60,8.359,0,Desconocido
Star Trek: Espacio profundo nueve,"Star Trek: Espacio profundo nueve (Star Trek: Deep Space Nine) (algunas veces abreviada ST:DS9 o DS9) es una serie de ciencia ficción estadounidense estrenada en 1993, que se extendió a lo largo de siete temporadas. Se ubica dentro del universo ficticio de Star Trek de Gene Roddenberry, creada por Rick Berman y Michael Piller a petición de Brandon Tartikoff, y fue producida por CBS Paramount Television. Los escritores principales, además de Rick Berman y Michael Piller, fueron Ira Steven Behr, Robert Hewitt Wolfe, Ronald D. Moore, Peter Allan Fields, Bradley Thompson, David Weddle, y René Echevarria.

Como una spin-off de Star Trek: La nueva generación, DS9 comenzó mientras su predecesora aún estaba al aire, lo cual llevó a varios episodios entrelazados entre ambas series. Además, dos miembros de TNG, Miles O'Brien y Worf, se convirtieron en miembros regulares de DS9.

A diferencia de otros programas de Star Trek, DS9 tuvo lugar en una estación espacial en vez de una nave estelar, para no tener dos series con naves al mismo tiempo (más adelante sería agregada la nave estelar USS Defiant). Esto hizo posible realizar arcos históricos y la aparición de personajes recurrentes con mayor frecuencia. La serie se centró más en temáticas oscuras, menos exploración espacial, y puso énfasis (en las últimas temporadas) en muchos aspectos de guerra.",1993,Sci-Fi & Fantasy,Desconocido,"Avery Brooks, Nana Visitor, Colm Meaney, Michael Dorn, Alexander Siddig",7,176,60,7.866,0,Desconocido
Star Trek: Voyager,"Star Trek: Voyager (algunas veces abreviada ST:VOY, ST:VGR, ST:V) es una serie de televisión de ciencia ficción estadounidense, dentro del universo de Star Trek. Esta serie fue creada por Rick Berman, Michael Piller y Jeri Taylor, y es la cuarta serie televisiva de Star Trek, que comenzó en los años 1960 con Star Trek: La Serie Original, creada por Gene Roddenberry. Star Trek Voyager fue producida durante siete temporadas, entre 1995 y 2001, y es la única serie de T.V. de Star Trek en tener una mujer como capitán (Kathryn Janeway).

Esta serie sigue las aventuras de la nave estelar USS Voyager, atrapada en el Cuadrante Delta a 75 mil años luz de la Tierra, mientras perseguía una nave de renegados Maquis. Ambas tripulaciones se unirán para emprender el camino de regreso a casa.",1995,Sci-Fi & Fantasy,Desconocido,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill, Ethan Phillips",7,169,60,7.789,0,Desconocido
Star Trek: Enterprise,"Star Trek: Enterprise es una serie de ciencia ficción y precuela de la serie original que transcurre 100 años antes. Se estrenó el 26 de Septiembre de 2001 en la red de UPN y el episodio final fue emitido en Mayo de 2005.

La serie transcurre en el siglo 22 abordo de la primera nave terrestre capaz de factor 5, la nave estelar Enterprise NX01, diseñada para la exploración de la galaxia y capitaneada por Jonathan Archer. La designacion NX indica que la nave es un modelo experimental.",2001,Sci-Fi & Fantasy,Desconocido,"Scott Bakula, Jolene Blalock, Connor Trinneer, John Billingsley, Dominic Keating",4,97,60,7.57,0,Desconocido
Star Trek: Discovery,"La emblemática saga vuelve con una serie fresca, con nuevos personajes y una nueva nave. Su misión: explorar nuevos mundos y dar esperanzas a las futuras generaciones.",2017,Sci-Fi & Fantasy,Desconocido,"Sonequa Martin-Green, Doug Jones, Mary Wiseman, Anthony Rapp, Wilson Cruz",5,65,60,7.104,0,Desconocido
Star Trek: Picard,"Serie ambientada 18 años después de la última aparición de Jean-Luc Picard en ""Star Trek: Nemesis"", y encuentra al personaje profundamente afectado por la destrucción de Romulus como se muestra en la película ""Star Trek"" (2009).",2020,Sci-Fi & Fantasy,Desconocido,"Patrick Stewart, Jeri Ryan, Michelle Hurd, Ed Speleers",3,30,60,7.297,0,Desconocido
V: La miniserie original,"Una raza extraterrestre llega a la Tierra, desplegando sus naves sobre las ciudades más importantes del planeta, con intenciones aparentemente pacíficas. Pero, una vez aquí, un reportero (Marc Singer) descubre que en realidad son una especie de reptiles con aspecto humano, comedores de ratones... que pretenden colonizar el planeta y usar a los hombres como alimento. La salvación de la humanidad, entonces, estará en manos de unos cuantos valientes que formarán la Resistencia.",1983,Action & Adventure,Desconocido,"Jane Badler, Michael Durrell, Faye Grant, Peter Nelson, David Packer",1,2,60,7.7,0,Desconocido
V. los visitantes,"V es una serie de televisión estadounidense de ciencia ficción que se estrenó en la ABC el 3 de noviembre de 2009. Se trata de una versión actual de la miniserie V que se emitió entre 1983 y 1985, la cual fue creada por Kenneth Johnson. Los productores ejecutivos de la nueva serie son Scott Peters (creador de Los 4400), Jace Hall, Steve Pearlman y Jeffrey Bell.",2009,Sci-Fi & Fantasy,Desconocido,"Elizabeth Mitchell, Morena Baccarin, Morris Chestnut, Joel Gretsch, Laura Vandervoort",2,22,60,6.806,0,Desconocido
Cómo defender a un asesino,"La gran abogada defensora y profesora de derecho Annalise Keating, más cinco de sus alumnos, se ven involucrados en un caso de asesinato muy complejo.",2014,Crimen,Desconocido,"Viola Davis, Billy Brown, Jack Falahee, Rome Flynn, Aja Naomi King",6,90,60,7.9,0,Desconocido
Black Mirror,Antología que muestra el lado oscuro de la vida y la tecnología.,2011,Sci-Fi & Fantasy,Desconocido,Desconocido,7,32,60,8.287,0,Desconocido
Expediente X,"Expediente X es una serie de televisión estadounidense de ciencia ficción y misterio, que emitió la cadena FOX y fue creada por Chris Carter, centrada en los casos que investigan dos agentes del FBI, clasificados como ""Expedientes X"": fenómenos paranormales, avistamiento de ovnis, criaturas extrañas, etc.

La serie ha sido uno de los mayores éxitos de la cadena FOX. Sus personajes y frases se han convertido en iconos de la cultura popular al explotar e inspirar una gran cantidad de teorías sobre conspiraciones y existencia de vida extraterrestre.",1993,Crimen,Desconocido,"David Duchovny, Gillian Anderson, Mitch Pileggi",11,218,60,8.375,0,Desconocido
Fringe,"La agente del FBI Olivia Dunham y su jefe, el agente Broyles, se encargan de esclarecer fenómenos inexplicables. En sus investigaciones, cuentan con la ayuda del doctor Bishop, un científico despistado que sabe más de lo que parece, y de su hijo Peter.",2008,Sci-Fi & Fantasy,Desconocido,"Anna Torv, Joshua Jackson, Jasika Nicole, John Noble",5,100,60,8.127,0,Desconocido
Orphan Black,"Nos encontramos con Sarah, una joven huérfana sin ningún sitio donde caerse muerta que es testigo del suicidio de una chica que es idéntica a ella. Sarah decidirá asumir su identidad, cuenta bancaría, hogar y demás solo para encontrarse en medio de una tremenda conspiración con clones de por medio.",2013,Drama,Desconocido,"Tatiana Maslany, Jordan Gavaris, Josh Vokey, Maria Doyle Kennedy, Ari Millen",5,50,60,7.804,0,Desconocido
Battlestar Galactica,"Reinvención de la serie con el mismo nombre de 1978, creada por Glen A. Larson. La historia se sitúa en un sistema lejano del universo, donde la civilización humana vive en un grupo de planetas conocidos como las doce Colonias. En el pasado estuvieron en guerra contra los Cylon, una raza cibernética creada por ellos mismos. Inesperadamente ese viejo enemigo reaparece lanzando un ataque que devasta a casi toda la población humana de los planetas. Battlestar Galactica parece ser la única nave superviviente de la Flota Colonial. Así, bajo el liderazgo del comandante William ""Bill"" Adama y la nueva presidenta, Laura Roslin, la tripulación de Battlestar Galactica asume la tarea de guiar a lo que queda de la raza humana por el espacio, en busca de un refugio legendario, conocido como Tierra.",2004,Sci-Fi & Fantasy,Desconocido,"Edward James Olmos, Mary McDonnell, Jamie Bamber, Katee Sackhoff, James Callis",4,73,60,8.2,0,Desconocido
Firefly,"Ambientada dentro de 500 años, narra las desventuras de la tripulación de una nave espacial que surca la galaxia eludiendo a las autoridades. A pesar de su escaso éxito de audiencia (que hizo que la serie fuera cancelada), gracias a su ferviente club de seguidores, en el año 2005 el propio Joss Whedon adaptó la serie a la gran pantalla con la película ""Serenity"", en la que contó exactamente con el mismo reparto.",2002,Drama,Desconocido,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin, Adam Baldwin",1,11,60,8.328,0,Desconocido
The Expanse,"Doscientos años en el futuro, en un sistema solar totalmente colonizado, el detective de la policía Miller, nacido en el Cinturón de Asteroides, es encargado con la misión de encontrar a una joven mujer desaparecida llamada Julie Mao.  Acompañando a Miller en su misión se encuentra James Holden, anteriormente primer oficial en un carguero de hielo, y quien estuvo involucrado en un incidente causado por las tensas relaciones entre la Tierra, Marte y el Cinturón. Pronto, ambos descubrirán que la mujer desaparecida es solo la punta del iceberg de una conspiración de inmensa magnitud que atentará contra la historia y la existencia de la Humanidad.

'The Expanse' es un 'thriller' futurista de ciencia ficción, escrito por Mark Fergus y Hawk Ostby, basado en la serie de novelas del mismo nombre. El proyecto ha sido desarrollado por la cadena SyFy US en colaboración con Alcon Entertainment.",2015,Drama,Desconocido,"Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo, Frankie Adams",6,62,60,8.062,0,Desconocido
